Line_no:1:	https://rfam.org/family/RF00005#tabview=tab6
6OUO	3	5S ribosomal RNA
6Y0G	L7	5S ribosomal RNA
7NSQ	B	5S ribosomal RNA
8A63	B	5S ribosomal RNA
5CZP	YB	5S ribosomal RNA
5EL6	1J	5S ribosomal RNA
5IBB	1J	5S ribosomal RNA
5MC6	BR	5S ribosomal RNA
5ZZM	M	5S ribosomal RNA
7NFX	7	5S ribosomal RNA
7PAS	4	5S ribosomal RNA
1VVJ	RB	5S ribosomal RNA
3G4S	9	5S ribosomal RNA
4V6F	DB	5S ribosomal RNA
4WZD	1J	5S ribosomal RNA
5MDZ	3	5S ribosomal RNA
6HCJ	71	5S ribosomal RNA
6OPE	YB	5S ribosomal RNA
6SV4	YR	5S ribosomal RNA
6V3A	B	5S ribosomal RNA
6XHY	1B	5S ribosomal RNA
1Q7Y	B	5S ribosomal RNA
3PIO	Y	5S ribosomal RNA
4V4Z	BB	5S ribosomal RNA
4V5M	BB	5S ribosomal RNA
4V6Y	BB	5S ribosomal RNA
4V9M	DB	5S ribosomal RNA
5AKA	A	5S ribosomal RNA
5I4L	7	5S ribosomal RNA
6GSL	16	5S ribosomal RNA
6OF6	RB	5S ribosomal RNA
6OGG	2	5S ribosomal RNA
6PCQ	J	5S ribosomal RNA
7JQL	1B	5S ribosomal RNA
4V7P	CB	5S ribosomal RNA
5DM7	Y	5S ribosomal RNA
6HCQ	71	5S ribosomal RNA
6PC8	J	5S ribosomal RNA
6R6G	7	5S ribosomal RNA
6YSU	B	5S ribosomal RNA
7ZW0	LC	5S ribosomal RNA
1VY7	DB	5S ribosomal RNA
4WRO	1J	5S ribosomal RNA
5MGP	B	5S ribosomal RNA
6T7I	C4	5S ribosomal RNA
7LS1	B2	5S ribosomal RNA
7ST2	2	5S ribosomal RNA
7TUT	u	5S ribosomal RNA
1FFK	9	5S ribosomal RNA
1K9M	B	5S ribosomal RNA
4U4N	3	5S ribosomal RNA
6NWY	YB	5S ribosomal RNA
7MSC	B	5S ribosomal RNA
1K73	B	5S ribosomal RNA
3CCE	9	5S ribosomal RNA
5IB7	16	5S ribosomal RNA
6BUW	RB	5S ribosomal RNA
6TNN	V	5S ribosomal RNA
7OW7	B	5S ribosomal RNA
8CVL	2B	5S ribosomal RNA
1NWY	9	5S ribosomal RNA
3JBP	AB	5S ribosomal RNA
4LFZ	RB	5S ribosomal RNA
5IT8	CB	5S ribosomal RNA
5XXB	3	5S ribosomal RNA
6CFJ	1B	5S ribosomal RNA
6CFL	1B	5S ribosomal RNA
7AZO	5SA	5S ribosomal RNA
7O1A	BB	5S ribosomal RNA
1NJI	B	5S ribosomal RNA
4V64	BA	5S ribosomal RNA
4V9L	BB	5S ribosomal RNA
5EL5	1J	5S ribosomal RNA
5NRG	Y	5S ribosomal RNA
6N9E	2B	5S ribosomal RNA
6WU9	B	5S ribosomal RNA
6XU8	A7	5S ribosomal RNA
6ZMO	L7	5S ribosomal RNA
7PAI	4	5S ribosomal RNA
7RQC	2B	5S ribosomal RNA
1VQ4	9	5S ribosomal RNA
4V7L	BB	5S ribosomal RNA
4WQY	CB	5S ribosomal RNA
5ADY	A	5S ribosomal RNA
5HCR	2B	5S ribosomal RNA
5J4C	2B	5S ribosomal RNA
5NJT	V	5S ribosomal RNA
5TCU	C	5S ribosomal RNA
6QT0	x	5S ribosomal RNA
6WD3	2	5S ribosomal RNA
7NSO	B	5S ribosomal RNA
7SSN	2	5S ribosomal RNA
7UCK	7	5S ribosomal RNA
4CSU	A	5S ribosomal RNA
4TUB	YB	5S ribosomal RNA
4U27	BB	5S ribosomal RNA
4V5Q	DB	5S ribosomal RNA
4V9F	9	5S ribosomal RNA
4W2I	DB	5S ribosomal RNA
5GAK	3	5S ribosomal RNA
7UPH	J	5S ribosomal RNA
4V8P	C3	5S ribosomal RNA
5JUS	D	5S ribosomal RNA
6QNR	16	5S ribosomal RNA
3J9W	BB	5S ribosomal RNA
4V88	A3	5S ribosomal RNA
4V9B	BB	5S ribosomal RNA
6TB3	BR	5S ribosomal RNA
6ZME	L7	5S ribosomal RNA
7LH5	DB	5S ribosomal RNA
4V6G	DB	5S ribosomal RNA
4ZER	2B	5S ribosomal RNA
6N8J	2	5S ribosomal RNA
6QTZ	x	5S ribosomal RNA
6T59	74	5S ribosomal RNA
7NHN	B	5S ribosomal RNA
7Q0R	3	5S ribosomal RNA
4U4O	7	5S ribosomal RNA
4U51	7	5S ribosomal RNA
4V7W	BB	5S ribosomal RNA
5JUT	D	5S ribosomal RNA
6B4V	GB	5S ribosomal RNA
6O9J	A	5S ribosomal RNA
6QNQ	16	5S ribosomal RNA
6WDD	2	5S ribosomal RNA
6X7F	d	5S ribosomal RNA
7BT6	3	5S ribosomal RNA
7NWG	71	5S ribosomal RNA
3G71	9	5S ribosomal RNA
4V4H	BA	5S ribosomal RNA
4V8Q	AB	5S ribosomal RNA
6OT3	3	5S ribosomal RNA
6XIR	3	5S ribosomal RNA
6ZM7	L7	5S ribosomal RNA
4IOC	Y	5S ribosomal RNA
4V6F	AB	5S ribosomal RNA
5EL4	1J	5S ribosomal RNA
5TGA	7	5S ribosomal RNA
6O9K	X	5S ribosomal RNA
7OIF	3	5S ribosomal RNA
3J6X	5S	5S ribosomal RNA
4V6D	DB	5S ribosomal RNA
4Z8C	2B	5S ribosomal RNA
5J4D	C	5S ribosomal RNA
6OF6	YB	5S ribosomal RNA
6YST	B	5S ribosomal RNA
7B5K	B	5S ribosomal RNA
7LS2	B2	5S ribosomal RNA
7UCJ	7	5S ribosomal RNA
4TUA	YB	5S ribosomal RNA
4U67	Y	5S ribosomal RNA
4V4H	DA	5S ribosomal RNA
4V6M	B7	5S ribosomal RNA
4V7J	BB	5S ribosomal RNA
4W4G	RB	5S ribosomal RNA
6FKR	1B	5S ribosomal RNA
6OLZ	A4	5S ribosomal RNA
6XQD	2B	5S ribosomal RNA
7N2U	5	5S ribosomal RNA
7QGG	E	5S ribosomal RNA
3JQ4	B	5S ribosomal RNA
4LNT	YB	5S ribosomal RNA
4U3N	3	5S ribosomal RNA
4V95	DB	5S ribosomal RNA
4W2H	DB	5S ribosomal RNA
4WOI	CB	5S ribosomal RNA
4XEJ	B5S	5S ribosomal RNA
5FCI	3	5S ribosomal RNA
5NGM	AB	5S ribosomal RNA
6ENJ	B	5S ribosomal RNA
6VZ7	d	5S ribosomal RNA
7NWI	7	5S ribosomal RNA
1YJ9	9	5S ribosomal RNA
1YJW	9	5S ribosomal RNA
4IOA	Y	5S ribosomal RNA
4V5A	BB	5S ribosomal RNA
5NDV	7	5S ribosomal RNA
5NWY	O	5S ribosomal RNA
6DDD	2	5S ribosomal RNA
6MTD	7	5S ribosomal RNA
6ND6	1B	5S ribosomal RNA
6P5N	7	5S ribosomal RNA
6WNW	4	5S ribosomal RNA
7TTU	2	5S ribosomal RNA
3J7P	7	5S ribosomal RNA
4U53	3	5S ribosomal RNA
4V68	BB	5S ribosomal RNA
5UYQ	02	5S ribosomal RNA
6NTA	YB	5S ribosomal RNA
7MSZ	B	5S ribosomal RNA
1VY7	BB	5S ribosomal RNA
2QEX	9	5S ribosomal RNA
3CCV	9	5S ribosomal RNA
3CF5	Z	5S ribosomal RNA
4UJC	A4	5S ribosomal RNA
5J7L	CB	5S ribosomal RNA
5OBM	3	5S ribosomal RNA
6BY1	DB	5S ribosomal RNA
6VZJ	d	5S ribosomal RNA
7K50	2	5S ribosomal RNA
7OHT	3	5S ribosomal RNA
7SFR	B	5S ribosomal RNA
7SSL	2	5S ribosomal RNA
7TM3	u	5S ribosomal RNA
1Q81	B	5S ribosomal RNA
2ZJR	Y	5S ribosomal RNA
3I55	9	5S ribosomal RNA
4V5P	BB	5S ribosomal RNA
4V6R	BA	5S ribosomal RNA
5LZA	B	5S ribosomal RNA
5TGA	3	5S ribosomal RNA
5VPO	YB	5S ribosomal RNA
5VPP	YB	5S ribosomal RNA
5ZEP	B	5S ribosomal RNA
6FXC	AB	5S ribosomal RNA
6O8Y	B	5S ribosomal RNA
6OFX	2	5S ribosomal RNA
6OJ2	YB	5S ribosomal RNA
4V4G	BA	5S ribosomal RNA
4W29	DB	5S ribosomal RNA
5DC3	7	5S ribosomal RNA
6XHX	2B	5S ribosomal RNA
6YSS	B	5S ribosomal RNA
7PIR	4	5S ribosomal RNA
7PIS	4	5S ribosomal RNA
7PIT	4	5S ribosomal RNA
7QGR	O	5S ribosomal RNA
7TTW	2	5S ribosomal RNA
7UNW	B	5S ribosomal RNA
2RDO	A	5S ribosomal RNA
3OW2	9	5S ribosomal RNA
4U4Q	3	5S ribosomal RNA
4V8F	DB	5S ribosomal RNA
5FDV	2B	5S ribosomal RNA
5HD1	1B	5S ribosomal RNA
6NSH	RB	5S ribosomal RNA
7K52	2	5S ribosomal RNA
4U4O	3	5S ribosomal RNA
4V55	BA	5S ribosomal RNA
5FL8	z	5S ribosomal RNA
6VYS	d	5S ribosomal RNA
6X6T	d	5S ribosomal RNA
7QVP	L7	5S ribosomal RNA
1S72	9	5S ribosomal RNA
4V6Z	BB	5S ribosomal RNA
4ZER	1B	5S ribosomal RNA
6OF1	1B	5S ribosomal RNA
7QIW	5	5S ribosomal RNA
7RQA	2B	5S ribosomal RNA
7U2I	2B	5S ribosomal RNA
4V9O	GB	5S ribosomal RNA
1VQO	9	5S ribosomal RNA
1XBP	9	5S ribosomal RNA
4V57	DA	5S ribosomal RNA
4V5Q	BB	5S ribosomal RNA
4XEJ	A5S	5S ribosomal RNA
5MDW	3	5S ribosomal RNA
5V8I	1B	5S ribosomal RNA
5VP2	2B	5S ribosomal RNA
6OSK	3	5S ribosomal RNA
6SV4	ZR	5S ribosomal RNA
6XDR	d	5S ribosomal RNA
7PAQ	4	5S ribosomal RNA
7QWR	7	5S ribosomal RNA
1VQ7	9	5S ribosomal RNA
4L71	RB	5S ribosomal RNA
4U1V	BB	5S ribosomal RNA
4V6U	B3	5S ribosomal RNA
4V7L	DB	5S ribosomal RNA
5LZE	B	5S ribosomal RNA
5O60	B	5S ribosomal RNA
6T7T	C4	5S ribosomal RNA
6ZTM	BB	5S ribosomal RNA
7PJS	B	5S ribosomal RNA
4V9S	BB	5S ribosomal RNA
5LZT	7	5S ribosomal RNA
5WFK	B	5S ribosomal RNA
6GZ4	A4	5S ribosomal RNA
6PCH	J	5S ribosomal RNA
6VYW	d	5S ribosomal RNA
7OLC	3	5S ribosomal RNA
1VY4	BB	5S ribosomal RNA
4TUA	RB	5S ribosomal RNA
4TUC	YB	5S ribosomal RNA
4U4U	3	5S ribosomal RNA
4V9N	BB	5S ribosomal RNA
4WR6	16	5S ribosomal RNA
4WT1	1J	5S ribosomal RNA
6HMA	B	5S ribosomal RNA
7QWS	7	5S ribosomal RNA
4L71	YB	5S ribosomal RNA
4V4V	B9	5S ribosomal RNA
4V7E	Ab	5S ribosomal RNA
4WCE	Y	5S ribosomal RNA
5DGV	7	5S ribosomal RNA
5J8A	CB	5S ribosomal RNA
6BOK	C	5S ribosomal RNA
6C4I	B	5S ribosomal RNA
6ERI	Ax	5S ribosomal RNA
6GC0	B	5S ribosomal RNA
7ASO	C	5S ribosomal RNA
7N30	5	5S ribosomal RNA
7PAK	4	5S ribosomal RNA
Line_no:3:	https://rfam.org/family/RF01704#tabview=tab6
6QN3	A	Glutamine-II riboswitch (downstream peptide RNA)
6QN3	B	Glutamine-II riboswitch (downstream peptide RNA)
Line_no:4:	https://rfam.org/family/RF00023#tabview=tab6
3IZ4	A	transfer-messenger RNA
1P6V	D	transfer-messenger RNA
3IYQ	A	transfer-messenger RNA
2CZJ	F	transfer-messenger RNA
7ACJ	4	transfer-messenger RNA
4V6T	AV	transfer-messenger RNA
2CZJ	B	transfer-messenger RNA
2CZJ	D	transfer-messenger RNA
5ZEY	A	transfer-messenger RNA
6Q95	4	transfer-messenger RNA
7ABZ	4	transfer-messenger RNA
4V8Q	BY	transfer-messenger RNA
6Q98	4	transfer-messenger RNA
1ZC8	A	transfer-messenger RNA
1P6V	B	transfer-messenger RNA
7AC7	4	transfer-messenger RNA
7ACR	4	transfer-messenger RNA
3IYR	A	transfer-messenger RNA
6Q9A	4	transfer-messenger RNA
2CZJ	H	transfer-messenger RNA
6Q97	4	transfer-messenger RNA
2OB7	A	transfer-messenger RNA
Line_no:5:	https://rfam.org/family/RF00010#tabview=tab6
2A2E	A	Bacterial RNase P class A
1U9S	A	Bacterial RNase P class A
3Q1Q	B	Bacterial RNase P class A
7UO5	B	Bacterial RNase P class A
7UO0	B	Bacterial RNase P class A
7UO1	B	Bacterial RNase P class A
7UO2	B	Bacterial RNase P class A
3Q1R	B	Bacterial RNase P class A
Line_no:6:	https://rfam.org/family/RF00162#tabview=tab6
3V7E	D	SAM riboswitch (S box leader)
3V7E	C	SAM riboswitch (S box leader)
5FK1	A	SAM riboswitch (S box leader)
3IQP	A	SAM riboswitch (S box leader)
3GX3	A	SAM riboswitch (S box leader)
4B5R	A	SAM riboswitch (S box leader)
5FKE	A	SAM riboswitch (S box leader)
5FK3	A	SAM riboswitch (S box leader)
2YDH	A	SAM riboswitch (S box leader)
5FK6	A	SAM riboswitch (S box leader)
3IQR	A	SAM riboswitch (S box leader)
3GX5	A	SAM riboswitch (S box leader)
2YGH	A	SAM riboswitch (S box leader)
3GX7	A	SAM riboswitch (S box leader)
3GX6	A	SAM riboswitch (S box leader)
3IQN	A	SAM riboswitch (S box leader)
5FK4	A	SAM riboswitch (S box leader)
5FJC	A	SAM riboswitch (S box leader)
5FK2	A	SAM riboswitch (S box leader)
4KQY	A	SAM riboswitch (S box leader)
5FKD	A	SAM riboswitch (S box leader)
5FKH	A	SAM riboswitch (S box leader)
5FKG	A	SAM riboswitch (S box leader)
5FK5	A	SAM riboswitch (S box leader)
7EAF	A	SAM riboswitch (S box leader)
2GIS	A	SAM riboswitch (S box leader)
4AOB	A	SAM riboswitch (S box leader)
5FKF	A	SAM riboswitch (S box leader)
3GX2	A	SAM riboswitch (S box leader)
Line_no:7:	https://rfam.org/family/RF00174#tabview=tab6
4GXY	A	Cobalamin riboswitch
4GMA	Z	Cobalamin riboswitch
6VMY	A	Cobalamin riboswitch
Line_no:8:	https://rfam.org/family/RF01725#tabview=tab6
4L81	A	SAM-I/IV variant riboswitch
4OQU	A	SAM-I/IV variant riboswitch
Line_no:9:	https://rfam.org/family/RF02001#tabview=tab6
4E8P	A	Group II catalytic intron D1-D4-3
4DS6	A	Group II catalytic intron D1-D4-3
6T3S	A	Group II catalytic intron D1-D4-3
3G78	A	Group II catalytic intron D1-D4-3
4FAQ	A	Group II catalytic intron D1-D4-3
3IGI	A	Group II catalytic intron D1-D4-3
4E8R	A	Group II catalytic intron D1-D4-3
4FAR	A	Group II catalytic intron D1-D4-3
3EOH	A	Group II catalytic intron D1-D4-3
4E8N	A	Group II catalytic intron D1-D4-3
4E8T	A	Group II catalytic intron D1-D4-3
4E8K	A	Group II catalytic intron D1-D4-3
6T3K	A	Group II catalytic intron D1-D4-3
5J01	A	Group II catalytic intron D1-D4-3
4FAX	A	Group II catalytic intron D1-D4-3
6T3R	A	Group II catalytic intron D1-D4-3
4E8Q	A	Group II catalytic intron D1-D4-3
3EOG	A	Group II catalytic intron D1-D4-3
4E8V	A	Group II catalytic intron D1-D4-3
4FAW	A	Group II catalytic intron D1-D4-3
3BWP	A	Group II catalytic intron D1-D4-3
4FAU	A	Group II catalytic intron D1-D4-3
7UIM	B	Group II catalytic intron D1-D4-3
5J02	A	Group II catalytic intron D1-D4-3
4Y1N	B	Group II catalytic intron D1-D4-3
4Y1N	A	Group II catalytic intron D1-D4-3
7UIN	B	Group II catalytic intron D1-D4-3
4Y1O	A	Group II catalytic intron D1-D4-3
4E8M	A	Group II catalytic intron D1-D4-3
6T3N	A	Group II catalytic intron D1-D4-3
4FB0	A	Group II catalytic intron D1-D4-3
4Y1O	B	Group II catalytic intron D1-D4-3
Line_no:10:	https://rfam.org/family/RF03054#tabview=tab6
7ELR	B	Xanthine riboswitch (NMT1 RNA)
7ELQ	A	Xanthine riboswitch (NMT1 RNA)
7ELR	A	Xanthine riboswitch (NMT1 RNA)
7ELQ	B	Xanthine riboswitch (NMT1 RNA)
7ELP	A	Xanthine riboswitch (NMT1 RNA)
7ELS	A	Xanthine riboswitch (NMT1 RNA)
7ELS	B	Xanthine riboswitch (NMT1 RNA)
7ELP	B	Xanthine riboswitch (NMT1 RNA)
Line_no:11:	https://rfam.org/family/RF01734#tabview=tab6
3VRS	A	Fluoride riboswitch (crcB)
4ENA	A	Fluoride riboswitch (crcB)
5KH8	A	Fluoride riboswitch (crcB)
4ENC	A	Fluoride riboswitch (crcB)
4ENB	A	Fluoride riboswitch (crcB)
4EN5	A	Fluoride riboswitch (crcB)
Line_no:12:	https://rfam.org/family/RF00169#tabview=tab6
2J28	8	Bacterial small signal recognition particle RNA
5AKA	7	Bacterial small signal recognition particle RNA
5GAF	1	Bacterial small signal recognition particle RNA
4XCO	E	Bacterial small signal recognition particle RNA
2V3C	N	Bacterial small signal recognition particle RNA
2XXA	G	Bacterial small signal recognition particle RNA
5NCO	1	Bacterial small signal recognition particle RNA
2IY3	B	Bacterial small signal recognition particle RNA
4XCO	M	Bacterial small signal recognition particle RNA
2V3C	M	Bacterial small signal recognition particle RNA
1Z43	A	Bacterial small signal recognition particle RNA
2XKV	B	Bacterial small signal recognition particle RNA
2XXA	F	Bacterial small signal recognition particle RNA
1LNG	B	Bacterial small signal recognition particle RNA
5GAH	1	Bacterial small signal recognition particle RNA
3ZN8	G	Bacterial small signal recognition particle RNA
5GAD	1	Bacterial small signal recognition particle RNA
5GAG	1	Bacterial small signal recognition particle RNA
Line_no:13:	https://rfam.org/family/RF02012#tabview=tab6
4R0D	A	Group II catalytic intron D1-D4-7
6MEC	A	Group II catalytic intron D1-D4-7
6CHR	A	Group II catalytic intron D1-D4-7
6CIH	A	Group II catalytic intron D1-D4-7
6ME0	A	Group II catalytic intron D1-D4-7
Line_no:14:	https://rfam.org/family/RF01998#tabview=tab6
5J01	A	Group II catalytic intron D1-D4-1
4FAX	A	Group II catalytic intron D1-D4-1
6T3R	A	Group II catalytic intron D1-D4-1
4E8Q	A	Group II catalytic intron D1-D4-1
3EOG	A	Group II catalytic intron D1-D4-1
4E8V	A	Group II catalytic intron D1-D4-1
4FAW	A	Group II catalytic intron D1-D4-1
3BWP	A	Group II catalytic intron D1-D4-1
4FAU	A	Group II catalytic intron D1-D4-1
7UIM	B	Group II catalytic intron D1-D4-1
5J02	A	Group II catalytic intron D1-D4-1
7UIN	B	Group II catalytic intron D1-D4-1
3EOH	A	Group II catalytic intron D1-D4-1
4E8N	A	Group II catalytic intron D1-D4-1
4E8T	A	Group II catalytic intron D1-D4-1
4E8K	A	Group II catalytic intron D1-D4-1
6T3K	A	Group II catalytic intron D1-D4-1
4E8M	A	Group II catalytic intron D1-D4-1
6T3N	A	Group II catalytic intron D1-D4-1
4FB0	A	Group II catalytic intron D1-D4-1
4E8P	A	Group II catalytic intron D1-D4-1
4DS6	A	Group II catalytic intron D1-D4-1
6T3S	A	Group II catalytic intron D1-D4-1
3G78	A	Group II catalytic intron D1-D4-1
4FAQ	A	Group II catalytic intron D1-D4-1
3IGI	A	Group II catalytic intron D1-D4-1
4E8R	A	Group II catalytic intron D1-D4-1
4FAR	A	Group II catalytic intron D1-D4-1
Line_no:15:	https://rfam.org/family/RF00004#tabview=tab6
5LJ3	Z	U2 spliceosomal RNA
5GM6	L	U2 spliceosomal RNA
5ZWO	H	U2 spliceosomal RNA
7W5B	H	U2 spliceosomal RNA
5NRL	2	U2 spliceosomal RNA
6J6G	L	U2 spliceosomal RNA
7OQB	2	U2 spliceosomal RNA
6Y5Q	2	U2 spliceosomal RNA
7W59	H	U2 spliceosomal RNA
5MQ0	2	U2 spliceosomal RNA
5XJC	H	U2 spliceosomal RNA
6QDV	2	U2 spliceosomal RNA
5O9Z	2	U2 spliceosomal RNA
6J6H	L	U2 spliceosomal RNA
6J6Q	L	U2 spliceosomal RNA
7W5A	H	U2 spliceosomal RNA
7DCO	H	U2 spliceosomal RNA
6FF4	2	U2 spliceosomal RNA
6ID0	H	U2 spliceosomal RNA
7Q3L	2	U2 spliceosomal RNA
5Y88	F	U2 spliceosomal RNA
5MQF	2	U2 spliceosomal RNA
6EXN	2	U2 spliceosomal RNA
5LJ5	Z	U2 spliceosomal RNA
5WSG	L	U2 spliceosomal RNA
5Z57	H	U2 spliceosomal RNA
5LQW	2	U2 spliceosomal RNA
7EVO	H	U2 spliceosomal RNA
5YLZ	F	U2 spliceosomal RNA
5ZWM	H	U2 spliceosomal RNA
5Z56	H	U2 spliceosomal RNA
6FF7	2	U2 spliceosomal RNA
7OQE	2	U2 spliceosomal RNA
7Q4P	2	U2 spliceosomal RNA
2LKR	A	U2 spliceosomal RNA
5GMK	L	U2 spliceosomal RNA
5YZG	H	U2 spliceosomal RNA
6Y53	2	U2 spliceosomal RNA
7AAV	2	U2 spliceosomal RNA
6AH0	H	U2 spliceosomal RNA
6Y50	2	U2 spliceosomal RNA
7B9V	2	U2 spliceosomal RNA
7ABH	2	U2 spliceosomal RNA
5Z58	H	U2 spliceosomal RNA
3JB9	P	U2 spliceosomal RNA
6ICZ	H	U2 spliceosomal RNA
6BK8	2	U2 spliceosomal RNA
6G90	2	U2 spliceosomal RNA
6ID1	H	U2 spliceosomal RNA
6AHD	H	U2 spliceosomal RNA
6ZYM	2	U2 spliceosomal RNA
6J6N	L	U2 spliceosomal RNA
7ABI	2	U2 spliceosomal RNA
7ONB	H	U2 spliceosomal RNA
5MPS	2	U2 spliceosomal RNA
7Q4O	2	U2 spliceosomal RNA
6QX9	2	U2 spliceosomal RNA
7A5P	2	U2 spliceosomal RNA
7ABG	2	U2 spliceosomal RNA
Line_no:16:	https://rfam.org/family/RF00026#tabview=tab6
6AHD	F	U6 spliceosomal RNA
7W59	F	U6 spliceosomal RNA
5MQ0	6	U6 spliceosomal RNA
6J6G	E	U6 spliceosomal RNA
6ICZ	F	U6 spliceosomal RNA
5ZWM	F	U6 spliceosomal RNA
5LJ3	V	U6 spliceosomal RNA
6AH0	F	U6 spliceosomal RNA
6J6N	E	U6 spliceosomal RNA
5GAN	W	U6 spliceosomal RNA
6ID0	F	U6 spliceosomal RNA
5MPS	6	U6 spliceosomal RNA
5TF6	D	U6 spliceosomal RNA
3JCR	N	U6 spliceosomal RNA
5VSU	I	U6 spliceosomal RNA
5WSG	E	U6 spliceosomal RNA
6J6Q	E	U6 spliceosomal RNA
6ZYM	6	U6 spliceosomal RNA
5YZG	F	U6 spliceosomal RNA
6ID1	F	U6 spliceosomal RNA
5MQF	6	U6 spliceosomal RNA
5GM6	E	U6 spliceosomal RNA
5XJC	F	U6 spliceosomal RNA
5NRL	6	U6 spliceosomal RNA
5TF6	B	U6 spliceosomal RNA
6J6H	E	U6 spliceosomal RNA
6QDV	6	U6 spliceosomal RNA
6QX9	6	U6 spliceosomal RNA
2LKR	A	U6 spliceosomal RNA
7A5P	6	U6 spliceosomal RNA
5O9Z	6	U6 spliceosomal RNA
5LJ5	V	U6 spliceosomal RNA
7ABF	6	U6 spliceosomal RNA
5GMK	E	U6 spliceosomal RNA
4N0T	B	U6 spliceosomal RNA
6ASO	I	U6 spliceosomal RNA
3JB9	N	U6 spliceosomal RNA
6QW6	6	U6 spliceosomal RNA
6FF4	6	U6 spliceosomal RNA
7W5B	F	U6 spliceosomal RNA
7W5A	F	U6 spliceosomal RNA
5Z56	F	U6 spliceosomal RNA
5Y88	D	U6 spliceosomal RNA
7ABI	6	U6 spliceosomal RNA
7AAV	6	U6 spliceosomal RNA
7ABG	6	U6 spliceosomal RNA
7DCO	F	U6 spliceosomal RNA
3JCM	D	U6 spliceosomal RNA
5YLZ	D	U6 spliceosomal RNA
6EXN	6	U6 spliceosomal RNA
5LQW	6	U6 spliceosomal RNA
5ZWO	F	U6 spliceosomal RNA
6BK8	6	U6 spliceosomal RNA
6FF7	6	U6 spliceosomal RNA
5GAP	W	U6 spliceosomal RNA
5Z57	F	U6 spliceosomal RNA
5Z58	F	U6 spliceosomal RNA
7B9V	6	U6 spliceosomal RNA
Line_no:17:	https://rfam.org/family/RF01750#tabview=tab6
6OD9	A	ZMP/ZTP riboswitch
6OD9	B	ZMP/ZTP riboswitch
4ZNP	B	ZMP/ZTP riboswitch
4ZNP	A	ZMP/ZTP riboswitch
4XWF	A	ZMP/ZTP riboswitch
5BTP	B	ZMP/ZTP riboswitch
6WZR	B	ZMP/ZTP riboswitch
4XW7	A	ZMP/ZTP riboswitch
6WZS	A	ZMP/ZTP riboswitch
6WZR	A	ZMP/ZTP riboswitch
5BTP	A	ZMP/ZTP riboswitch
6WZS	B	ZMP/ZTP riboswitch
Line_no:18:	https://rfam.org/family/RF03013#tabview=tab6
7D7V	A	nadA RNA
6TF0	A	nadA RNA
7D7W	A	nadA RNA
6TB7	A	nadA RNA
7D7X	A	nadA RNA
7D7Y	A	nadA RNA
6TF3	A	nadA RNA
6TFH	A	nadA RNA
7D7Z	A	nadA RNA
6TF2	A	nadA RNA
6TF1	A	nadA RNA
7D81	A	nadA RNA
6TFE	A	nadA RNA
6TFF	A	nadA RNA
7D82	A	nadA RNA
6TFG	A	nadA RNA
Line_no:19:	https://rfam.org/family/RF00020#tabview=tab6
6J6H	D	U5 spliceosomal RNA
5Z57	B	U5 spliceosomal RNA
5GAP	U	U5 spliceosomal RNA
3JCR	H	U5 spliceosomal RNA
5YZG	B	U5 spliceosomal RNA
5MQF	5	U5 spliceosomal RNA
6FF4	5	U5 spliceosomal RNA
7A5P	5	U5 spliceosomal RNA
5Z58	B	U5 spliceosomal RNA
5ZWO	B	U5 spliceosomal RNA
7ABG	5	U5 spliceosomal RNA
5WSG	D	U5 spliceosomal RNA
7DVQ	B	U5 spliceosomal RNA
7W5A	B	U5 spliceosomal RNA
5Z56	B	U5 spliceosomal RNA
6EXN	5	U5 spliceosomal RNA
5LJ3	U	U5 spliceosomal RNA
7W5B	B	U5 spliceosomal RNA
7DCO	B	U5 spliceosomal RNA
3JCM	F	U5 spliceosomal RNA
6J6G	D	U5 spliceosomal RNA
5LQW	5	U5 spliceosomal RNA
5NRL	5	U5 spliceosomal RNA
7AAV	5	U5 spliceosomal RNA
7B9V	5	U5 spliceosomal RNA
6FF7	5	U5 spliceosomal RNA
7W59	B	U5 spliceosomal RNA
5XJC	B	U5 spliceosomal RNA
6QX9	5	U5 spliceosomal RNA
5YLZ	B	U5 spliceosomal RNA
6ID1	B	U5 spliceosomal RNA
6AHD	B	U5 spliceosomal RNA
5GAN	U	U5 spliceosomal RNA
5GM6	D	U5 spliceosomal RNA
6ICZ	B	U5 spliceosomal RNA
6QDV	5	U5 spliceosomal RNA
5MQ0	5	U5 spliceosomal RNA
5O9Z	5	U5 spliceosomal RNA
6ZYM	5	U5 spliceosomal RNA
5Y88	B	U5 spliceosomal RNA
3JB9	C	U5 spliceosomal RNA
6J6Q	D	U5 spliceosomal RNA
5MPS	5	U5 spliceosomal RNA
7ABF	5	U5 spliceosomal RNA
6BK8	5	U5 spliceosomal RNA
6QW6	5	U5 spliceosomal RNA
6ID0	B	U5 spliceosomal RNA
7ABI	5	U5 spliceosomal RNA
5GMK	D	U5 spliceosomal RNA
5LJ5	U	U5 spliceosomal RNA
6J6N	D	U5 spliceosomal RNA
6AH0	B	U5 spliceosomal RNA
5GAM	U	U5 spliceosomal RNA
5ZWM	B	U5 spliceosomal RNA
Line_no:20:	https://rfam.org/family/RF00015#tabview=tab6
6QX9	4	U4 spliceosomal RNA
5NRL	4	U4 spliceosomal RNA
5GAP	V	U4 spliceosomal RNA
5ZWO	I	U4 spliceosomal RNA
2N7M	X	U4 spliceosomal RNA
